epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
14,595.617,1.30146,2.16782,2.07936,1.26248,0,0.91702,0.1958,0.22595,0.15163,0.91702,0.1958,0.22525,0.13711,1.20449,2.11225,2.41045,1.1809,0,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509
15,637.624,1.33439,2.1712,1.79088,1.25338,0,0.90452,0.23485,0.25021,0.16922,0.90338,0.23372,0.2474,0.14971,1.23094,2.12838,2.02855,1.207,0,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
16,678.835,1.29022,2.0931,1.65268,1.24829,0,0.48676,0.2787,0.31709,0.21081,0.4864,0.27822,0.31405,0.17675,1.2138,2.07989,1.7165,1.21532,0,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
17,720.714,1.25242,2.03712,1.53024,1.2559,0,0.42586,0.33935,0.35225,0.23055,0.42586,0.33935,0.35037,0.19391,1.19906,1.99371,1.53264,1.21856,0,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
18,763.5,1.22843,1.96153,1.43428,1.24035,0,0.72175,0.36114,0.36069,0.23711,0.72444,0.36169,0.35949,0.20108,1.1635,1.95373,1.42464,1.21409,0,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885
19,805.46,1.24824,2.01113,1.38649,1.23672,0,0.7189,0.37403,0.37321,0.24456,0.71823,0.37287,0.36985,0.2068,1.14066,1.89668,1.47687,1.21056,0,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
20,848.051,1.23195,2.04026,1.34301,1.20413,0,0.74955,0.3735,0.39085,0.25804,0.7485,0.37278,0.38705,0.21822,1.11186,1.84703,1.65347,1.1976,0,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021
21,893.684,1.22246,1.9999,1.32346,1.20527,0,0.77604,0.37581,0.40772,0.2719,0.77787,0.37099,0.40384,0.22821,1.09142,1.81633,1.76118,1.18327,0,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
22,940.139,1.22176,2.00604,1.27934,1.19409,0,0.75148,0.40145,0.41623,0.27759,0.75189,0.39198,0.41202,0.23183,1.08475,1.81731,1.77449,1.16924,0,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191
23,987.1,1.184,1.92495,1.23542,1.17767,0,0.78052,0.39701,0.43484,0.29199,0.77104,0.39391,0.42733,0.24252,1.0594,1.79649,1.60881,1.15652,0,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
24,1029.35,1.18078,1.94767,1.22809,1.17469,0,0.80796,0.3911,0.45187,0.30378,0.80134,0.38918,0.44527,0.24814,1.04657,1.79019,1.40769,1.1488,0,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362
25,1073.82,1.1505,1.92536,1.19334,1.16392,0,0.80838,0.40525,0.46353,0.31218,0.81004,0.40025,0.45597,0.25401,1.0389,1.77368,1.28763,1.14406,0,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
26,1118.43,1.14684,1.92675,1.177,1.16012,0,0.80119,0.42027,0.46811,0.31753,0.7955,0.41534,0.45897,0.25813,1.02839,1.76582,1.2243,1.13959,0,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
27,1161.51,1.15516,1.92369,1.16834,1.15817,0,0.79631,0.44108,0.4731,0.3207,0.78973,0.43629,0.46443,0.26354,1.0158,1.7387,1.22049,1.13317,0,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
28,1203.14,1.13457,1.89016,1.13851,1.1532,0,0.80634,0.44203,0.47784,0.32446,0.80067,0.4392,0.46853,0.2677,1.00498,1.73127,1.1723,1.12797,0,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703
29,1245.29,1.11199,1.84148,1.17733,1.14742,0,0.82399,0.43533,0.48144,0.32507,0.81752,0.43089,0.47192,0.26776,1.00325,1.74622,1.13204,1.12311,0,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
30,1289.7,1.14555,1.90579,1.08475,1.13731,0,0.82126,0.43702,0.48518,0.32868,0.81226,0.43092,0.47476,0.26999,0.99807,1.70859,1.1206,1.1162,0,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,1332.79,1.11182,1.84452,1.08395,1.1403,0,0.8182,0.43865,0.48696,0.32926,0.81142,0.43399,0.47801,0.27103,0.99503,1.71114,1.09372,1.11021,0,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,1375.52,1.10283,1.85941,1.07271,1.1392,0,0.79923,0.4566,0.4881,0.32676,0.78413,0.45495,0.47781,0.26561,0.99544,1.73365,1.084,1.10588,0,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,1417.81,1.08652,1.83217,1.03427,1.11535,0,0.80055,0.45662,0.49439,0.33004,0.78966,0.45069,0.48079,0.26875,0.99421,1.70027,1.06807,1.10213,0,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
34,1459.58,1.0938,1.81654,1.03434,1.11959,0,0.81362,0.45431,0.49959,0.33878,0.80139,0.44809,0.48437,0.28173,0.97722,1.64298,1.05687,1.09628,0,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
35,1499.57,1.04456,1.77014,1.02979,1.1191,0,0.82926,0.45394,0.50184,0.34074,0.82135,0.44875,0.48867,0.28061,0.97165,1.65779,1.03551,1.09007,0,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
36,1541.27,1.08931,1.80333,1.02883,1.11457,0,0.83094,0.45647,0.50556,0.34378,0.82144,0.45251,0.49023,0.28355,0.97371,1.63175,1.0248,1.08949,0,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
37,1583.3,1.05276,1.76672,0.99614,1.10839,0,0.83567,0.45691,0.50812,0.34565,0.82475,0.45448,0.49532,0.28525,0.96847,1.62163,1.01561,1.08559,0,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
38,1623.95,1.03273,1.69381,1.00837,1.10687,0,0.84233,0.44562,0.50793,0.34622,0.81967,0.4548,0.49549,0.285,0.96268,1.63185,1.00576,1.08207,0,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557
39,1664.47,1.05773,1.74803,1.01309,1.10744,0,0.83158,0.45335,0.51115,0.34484,0.82693,0.44632,0.49363,0.28311,0.96838,1.6215,1.00187,1.08446,0,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
40,1706.63,1.05943,1.77661,0.99304,1.09951,0,0.81766,0.4649,0.51245,0.34669,0.81336,0.45395,0.49517,0.28554,0.96459,1.61727,1.00577,1.08174,0,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263
41,1748.26,1.04266,1.71979,0.98999,1.08956,0,0.8209,0.46461,0.51767,0.35302,0.81519,0.45866,0.50494,0.28997,0.9594,1.60703,0.99844,1.08064,0,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
42,1789.77,1.05898,1.78497,0.97378,1.0875,0,0.80509,0.47969,0.52273,0.35458,0.81565,0.45291,0.50973,0.29274,0.9597,1.60238,0.99157,1.07931,0,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969
43,1830.89,1.03898,1.71975,0.99214,1.10319,0,0.81252,0.47363,0.52841,0.35973,0.80544,0.46679,0.51354,0.29575,0.95395,1.60051,0.9903,1.0764,0,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
44,1871.03,1.03727,1.70038,0.9853,1.09267,0,0.81731,0.46918,0.52894,0.36242,0.81126,0.46357,0.5154,0.29718,0.94813,1.60207,0.98109,1.07456,0,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675
45,1911.12,1.02274,1.73031,0.98595,1.09442,0,0.81548,0.47165,0.5274,0.36314,0.84149,0.44435,0.51654,0.29848,0.93832,1.60344,0.97762,1.06979,0,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
46,1953.6,1.06068,1.76137,0.9537,1.07822,0,0.83258,0.4614,0.53114,0.36309,0.83047,0.45807,0.52295,0.30061,0.94535,1.57665,0.97289,1.06761,0,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
47,1995.9,1.03423,1.73111,0.93589,1.07484,0,0.81929,0.47611,0.53255,0.3661,0.81446,0.47542,0.52272,0.30297,0.94035,1.59397,0.96793,1.06328,0,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
48,2036.23,0.99564,1.65979,0.93844,1.07125,0,0.48029,0.4845,0.53493,0.36775,0.47465,0.47877,0.52385,0.30351,0.93637,1.60525,0.95648,1.06051,0,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086
49,2076.15,1.04582,1.73977,0.94809,1.0838,0,0.48699,0.48199,0.53605,0.36776,0.4834,0.47359,0.52469,0.30407,0.93434,1.57168,0.9502,1.05971,0,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
50,2117.29,1.00634,1.69495,0.9162,1.07046,0,0.48867,0.4806,0.53823,0.36662,0.47871,0.47832,0.52869,0.30193,0.95017,1.56194,0.95146,1.06287,0,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792
51,2157.09,1.03446,1.70716,0.9405,1.08323,0,0.48207,0.48667,0.53911,0.36723,0.47483,0.48101,0.527,0.30274,0.94033,1.56089,0.94868,1.05844,0,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
52,2199.95,1.0097,1.69304,0.91714,1.06689,0,0.4891,0.4837,0.5377,0.36796,0.478,0.483,0.52848,0.30409,0.93145,1.55311,0.94581,1.05639,0,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498
53,2243.57,1.01374,1.70258,0.90703,1.06238,0,0.48628,0.48931,0.53802,0.36502,0.47971,0.48357,0.52729,0.30155,0.94058,1.55975,0.95007,1.05737,0,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
54,2286.43,0.99365,1.68371,0.90518,1.05747,0,0.495,0.48336,0.538,0.36994,0.48764,0.47757,0.52852,0.30677,0.92786,1.55512,0.94992,1.05317,0,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204
55,2330.68,1.03418,1.73418,0.91189,1.0599,0,0.4983,0.48462,0.54295,0.37291,0.48275,0.48791,0.53369,0.30889,0.93159,1.5498,0.94317,1.05488,0,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
56,2374.58,1.04705,1.75922,0.92494,1.0637,0,0.50271,0.48203,0.54652,0.37541,0.49436,0.4751,0.53548,0.31233,0.92651,1.53779,0.93846,1.0522,0,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
57,2416.85,1.00138,1.69682,0.92572,1.06609,0,0.51084,0.47274,0.54365,0.37471,0.50427,0.46622,0.53486,0.3135,0.92267,1.52734,0.93186,1.04712,0,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
58,2458.16,0.97664,1.62071,0.88019,1.04697,0,0.51591,0.47036,0.54708,0.37409,0.5091,0.46196,0.53354,0.31047,0.9229,1.52415,0.92139,1.04599,0,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615
59,2500.85,1.03033,1.71019,0.91419,1.06178,0,0.50429,0.48294,0.54872,0.37457,0.50778,0.46237,0.53273,0.31061,0.92234,1.52396,0.91406,1.04592,0,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
60,2545.41,1.00573,1.67823,0.89662,1.04898,0,0.49166,0.49456,0.54884,0.37639,0.49743,0.47227,0.5348,0.31224,0.92667,1.51973,0.91576,1.04681,0,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321
61,2588.16,0.97759,1.62865,0.86967,1.04505,0,0.49746,0.48995,0.55022,0.37829,0.5027,0.47628,0.53711,0.31541,0.9185,1.51556,0.91292,1.04338,0,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
62,2629.58,0.97673,1.64146,0.88684,1.05854,0,0.49668,0.4936,0.5503,0.37901,0.49146,0.48239,0.53618,0.31818,0.91726,1.51337,0.90604,1.04258,0,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027
63,2670.56,0.98141,1.65289,0.88725,1.05035,0,0.49336,0.4991,0.55092,0.38027,0.49064,0.48538,0.53564,0.31654,0.91342,1.51382,0.90249,1.04171,0,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
64,2713.29,0.9962,1.66079,0.87263,1.04723,0,0.49711,0.49645,0.54963,0.37997,0.49147,0.48601,0.53619,0.3185,0.9197,1.51193,0.90384,1.04357,0,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733
65,2754.85,0.97371,1.64937,0.90525,1.05091,0,0.49764,0.49958,0.55029,0.37915,0.49112,0.48794,0.53713,0.31792,0.91992,1.5135,0.90824,1.04127,0,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
66,2796.63,0.97093,1.61788,0.87335,1.0346,0,0.49412,0.49786,0.55164,0.38059,0.49884,0.48251,0.53913,0.31854,0.91718,1.50935,0.90756,1.03992,0,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
67,2839.37,0.98064,1.62183,0.86894,1.04784,0,0.4961,0.49893,0.55275,0.38081,0.49336,0.48666,0.54043,0.31726,0.91784,1.50908,0.90641,1.03883,0,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
68,2882.83,0.99853,1.66951,0.90705,1.05425,0,0.5106,0.48729,0.55567,0.38288,0.50581,0.4747,0.54327,0.32038,0.91278,1.5043,0.90576,1.03859,0,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144
69,2925.97,0.98026,1.61881,0.89574,1.05014,0,0.50753,0.49388,0.55746,0.38403,0.50158,0.47695,0.54317,0.31886,0.91961,1.50553,0.90536,1.03973,0,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
70,2967.75,0.97157,1.61594,0.87389,1.04459,0,0.50516,0.4956,0.55859,0.38748,0.50418,0.47411,0.54558,0.32194,0.91376,1.5027,0.90318,1.03778,0,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285
71,3010.86,0.9698,1.61785,0.8494,1.03577,0,0.5068,0.49428,0.5594,0.38707,0.49919,0.48589,0.54714,0.32285,0.91363,1.50616,0.90098,1.03746,0,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
72,3051.5,0.97889,1.59974,0.87333,1.04477,0,0.50334,0.49081,0.55965,0.3874,0.49371,0.48434,0.54632,0.32333,0.91073,1.51214,0.89916,1.036,0,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556
73,3095.11,0.97859,1.62529,0.86308,1.03992,0,0.45436,0.57873,0.56002,0.38858,0.44716,0.56971,0.54714,0.32393,0.90983,1.5032,0.89642,1.03681,0,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
74,3139.68,0.99746,1.67222,0.86713,1.05447,0,0.47551,0.569,0.56252,0.39011,0.45446,0.56588,0.54961,0.325,0.91205,1.50009,0.89582,1.0373,0,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262
75,3186.04,0.96148,1.61174,0.8613,1.0396,0,0.47101,0.56881,0.56473,0.38938,0.46306,0.55956,0.5503,0.3236,0.91354,1.50164,0.89408,1.0368,0,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
76,3231.5,0.95687,1.60944,0.86533,1.04216,0,0.48164,0.5669,0.56486,0.38941,0.47467,0.55901,0.54965,0.32442,0.91104,1.50021,0.8922,1.03605,0,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967
77,3274.05,0.95944,1.57294,0.88586,1.05178,0,0.49848,0.56816,0.5639,0.39014,0.49266,0.56171,0.55064,0.32498,0.9111,1.4985,0.89181,1.03512,0,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
78,3317.55,0.9703,1.62014,0.87487,1.04613,0,0.51456,0.5631,0.56609,0.38998,0.50875,0.55681,0.55422,0.32551,0.91051,1.49666,0.88862,1.03463,0,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673
79,3361.4,0.98619,1.6466,0.85226,1.03777,0,0.5236,0.55743,0.5673,0.38957,0.51712,0.55055,0.55474,0.32407,0.91229,1.49682,0.88962,1.03453,0,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
80,3402.89,0.96828,1.61167,0.8463,1.03286,0,0.54109,0.551,0.56888,0.39007,0.53288,0.54288,0.55504,0.32342,0.91212,1.49544,0.89106,1.03419,0,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379
81,3443.2,0.94989,1.57914,0.86908,1.04631,0,0.5315,0.55525,0.56875,0.3895,0.52419,0.54785,0.55542,0.32429,0.91217,1.49409,0.8936,1.03369,0,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
82,3485.1,0.96542,1.58497,0.85525,1.03319,0,0.52723,0.55645,0.5699,0.39222,0.51978,0.54898,0.55846,0.32632,0.91009,1.49127,0.89078,1.03298,0,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085
83,3527.17,0.99526,1.66304,0.86168,1.02893,0,0.53045,0.5543,0.57055,0.39515,0.52399,0.5466,0.55877,0.32832,0.90864,1.49168,0.88583,1.03223,0,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
84,3569.07,0.97782,1.63437,0.85377,1.03456,0,0.5107,0.55674,0.57148,0.3958,0.5033,0.54855,0.56032,0.32861,0.90976,1.49194,0.88842,1.03153,0,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791
85,3610.06,0.9671,1.61237,0.84375,1.03811,0,0.51347,0.56318,0.57171,0.39586,0.50605,0.55554,0.55962,0.32814,0.9099,1.49021,0.89135,1.03059,0,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
86,3652.21,0.95853,1.6184,0.83752,1.02923,0,0.4904,0.59382,0.57315,0.39597,0.48226,0.58418,0.56091,0.32849,0.91105,1.49129,0.89326,1.03055,0,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497
87,3694.06,0.96851,1.61164,0.8495,1.03006,0,0.49418,0.59282,0.57333,0.39646,0.48704,0.58445,0.56147,0.32842,0.91109,1.49448,0.89229,1.03071,0,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
88,3734.68,0.96459,1.61453,0.84173,1.02841,0,0.49102,0.59169,0.57491,0.39666,0.48478,0.58445,0.56423,0.32856,0.91037,1.49288,0.8887,1.03042,0,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202
89,3772.52,0.97989,1.61442,0.84158,1.03129,0,0.49344,0.59499,0.57727,0.39977,0.48715,0.58766,0.56584,0.33134,0.90801,1.49042,0.88447,1.03047,0,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
90,3809.46,0.93223,1.56134,0.82573,1.02599,0,0.48667,0.60157,0.57827,0.40018,0.48032,0.59401,0.56802,0.33282,0.90726,1.48813,0.88212,1.03004,0,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908
91,3838.88,0.97867,1.66388,0.99724,1.05631,0,0.55052,0.55028,0.57584,0.39901,0.54567,0.54486,0.56469,0.33142,0.90954,1.48842,0.89072,1.02964,0,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
92,3868,0.98291,1.66576,1.01446,1.04307,0,0.56091,0.54969,0.57448,0.39841,0.55205,0.54232,0.56218,0.33102,0.91242,1.49819,0.89949,1.02962,0,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614
93,3896.92,0.9688,1.6892,0.9902,1.04996,0,0.56441,0.5529,0.57386,0.39739,0.55719,0.54566,0.56192,0.32921,0.91612,1.50891,0.90955,1.03046,0,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
94,3926.19,0.94793,1.65097,0.98719,1.04758,0,0.56434,0.5527,0.57325,0.39604,0.5591,0.54673,0.55989,0.32716,0.9189,1.519,0.91885,1.03095,0,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332
95,3955.12,0.96702,1.68195,0.95171,1.04393,0,0.48557,0.60379,0.57136,0.39388,0.48106,0.59791,0.55905,0.32608,0.92197,1.52934,0.9258,1.03202,0,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
96,3983.94,0.94644,1.6241,0.93791,1.03263,0,0.49687,0.60776,0.56985,0.39332,0.484,0.6046,0.55902,0.32557,0.92317,1.53764,0.93395,1.03234,0,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05
97,4013,0.97861,1.69964,0.94774,1.04203,0,0.49215,0.6061,0.5684,0.39116,0.48481,0.59913,0.55734,0.32445,0.92391,1.54561,0.94373,1.03282,0,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
